kant_CODE,kant_name,keskus_CODE,keskus_name,population,workers,share_to_center,top_pt_dest,n_trips_to_top,total_outbound_trips,n_trips_to_keskus,n_services_to_keskus,median_travel_time_min,avg_travel_time_min,min_travel_time_min,max_travel_time_min,first_departure_hour,last_departure_hour,service_span_hours,avg_frequency_min,am_peak_services,off_peak_services,hours_with_service,cv_hourly,pm_return_services,pm_return_hours_covered,prop_to_keskus,pt_matches_commute,has_pt_service,has_am_service,has_pm_return,return_feasible,is_center
K554,Rapla,K554,Rapla,NA,NA,NA,K553,66,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
K553,Rapla linn,K554,Rapla,NA,NA,NA,K554,70,124,70,70,9,9,3,46,7,23,16,13.9,18,52,15,0.64115420703693915,28,4,0.5645161290322581,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K555,Rasina,K674,Tartu linn,NA,NA,NA,K399,4,8,2,2,66.5,66.5,61,72,6,15,9,544,1,1,2,0,0,0,0.25,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
K556,Ravila,K663,Tallinn,NA,NA,NA,K245,22,28,7,7,49,53.7,45,87,6,20,14,143.5,3,4,6,0.34992710611188255,2,2,0.25,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K557,Reegoldi,K789,Viljandi linn,NA,NA,NA,K443,15,27,9,9,30,35.4,25,58,6,18,12,89.4,3,6,7,0.3795166950355407,3,3,0.3333333333333333,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K559,Reola,K674,Tartu linn,NA,NA,NA,K674,43,71,43,43,23,28.1,14,119,1,22,21,27.3,10,33,16,0.689042204735135,10,4,0.6056338028169014,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K560,Reopalu,K458,Paide linn,NA,NA,NA,K458,31,55,31,31,5,6.3,5,37,0,22,22,38,6,25,19,0.46634942886454706,8,4,0.5636363636363636,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K561,Riguldi,K663,Tallinn,NA,NA,NA,K061,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
K563,Riidaku,K663,Tallinn,NA,NA,NA,K105,9,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
K564,Riisipere,K663,Tallinn,NA,NA,NA,K696,29,61,26,26,49,48.7,38,76,6,21,15,36.9,6,20,16,0.5446530480964822,8,4,0.4262295081967213,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K565,Rimmu,K789,Viljandi linn,NA,NA,NA,K789,3,6,3,3,28,26.3,23,28,7,16,9,287,2,1,2,0.47140452079103173,1,1,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K566,Risti,K663,Tallinn,NA,NA,NA,K061,15,37,12,12,49,50.2,41,60,6,21,15,80.9,2,10,11,0.27638539919628335,4,3,0.32432432432432434,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K567,Ristiküla,K531,Pärnu linn,NA,NA,NA,K531,12,23,12,12,31,32.1,23,40,6,19,13,69.5,4,8,10,0.3513641844631533,4,4,0.5217391304347826,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K568,Roela,K545,Rakvere linn,NA,NA,NA,K545,14,19,14,14,33.5,40.6,29,85,6,21,15,69,2,12,11,0.367006645104718,3,3,0.7368421052631579,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K569,Rohuküla,K061,Haapsalu linn,NA,NA,NA,K061,18,28,18,18,9,10.2,8,19,6,20,14,49.7,3,15,13,0.4697648479246601,6,3,0.6428571428571429,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K570,Roiu,K674,Tartu linn,NA,NA,NA,K674,16,22,16,16,38,42.6,25,77,6,20,14,54.8,3,13,11,0.6422616289332566,5,4,0.7272727272727273,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K571,Roosna-Alliku,K458,Paide linn,NA,NA,NA,K458,9,19,9,9,22,22.9,18,27,7,22,15,112,2,7,7,0.3795166950355407,3,2,0.47368421052631576,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K572,Roostoja,K118,Jõhvi linn,NA,NA,NA,K044,2,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
K573,Rosma,K523,Põlva linn,NA,NA,NA,K523,21,31,21,21,12,22,4,85,7,19,12,36.8,6,15,10,0.6127066370037709,8,4,0.6774193548387096,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K575,Rulli,K674,Tartu linn,NA,NA,NA,K703,11,13,2,2,75,75,65,85,6,8,2,160,1,1,2,0,1,1,0.15384615384615385,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K576,Rummu,K663,Tallinn,NA,NA,NA,K764,25,44,19,19,64,66,58,81,5,22,17,55,5,14,14,0.466659563835427,8,4,0.4318181818181818,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K577,Ruusa,K523,Põlva linn,NA,NA,NA,K329,11,23,10,10,26,25.6,10,45,6,22,16,104.3,2,8,9,0.30000000000000004,4,3,0.43478260869565216,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K578,Ruusmäe,K813,Võru linn,NA,NA,NA,K813,7,10,7,7,57,55.4,37,76,6,18,12,110.8,3,4,6,0.34992710611188255,3,3,0.7,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K579,Rõngu,K674,Tartu linn,NA,NA,NA,K049,17,29,13,13,60,67.6,45,108,6,20,14,69.3,2,11,9,0.5029498781008469,5,3,0.4482758620689655,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K580,Rõude,K663,Tallinn,NA,NA,NA,K061,6,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
K581,Rõuge,K813,Võru linn,NA,NA,NA,K813,13,16,13,13,25,52.7,19,136,6,18,12,58.8,3,10,10,0.3715737627228061,6,4,0.8125,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K582,Räni,K674,Tartu linn,NA,NA,NA,K674,154,201,154,154,11,12.6,1,152,5,22,17,6.6,16,138,18,0.292475049668173,47,4,0.7661691542288557,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K583,Räpina linn,K674,Tartu linn,NA,NA,NA,K584,41,41,8,8,75,82.2,63,115,6,18,12,101.1,1,7,8,0,2,2,0.1951219512195122,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K584,Räpina ümbrus,K674,Tartu linn,NA,NA,NA,K583,45,59,8,8,72,79.1,59,112,6,18,12,101.1,1,7,8,0,2,2,0.13559322033898305,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K585,Rääsa,K213,Kiviõli linn,NA,NA,NA,K380,3,3,1,1,22,22,22,22,16,16,0,NA,0,1,1,NA,2,2,0.3333333333333333,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
K586,Saarde,K531,Pärnu linn,NA,NA,NA,K208,6,11,3,3,76,75.3,65,85,6,17,11,342.5,2,1,3,0,1,1,0.2727272727272727,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K588,Saarepeedi,K789,Viljandi linn,NA,NA,NA,K789,16,19,16,16,15.5,24.9,10,61,6,20,14,54.5,4,12,11,0.3590351654086268,4,2,0.8421052631578947,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K589,Saarlase,K813,Võru linn,NA,NA,NA,K813,5,6,5,5,43,71.4,35,125,6,18,12,171,2,3,4,0.4,2,2,0.8333333333333334,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K591,Sadala,K115,Jõgeva linn,NA,NA,NA,K266,12,20,9,9,23,22.9,17,26,6,18,12,93.6,2,7,8,0.3142696805273545,4,4,0.45,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K592,Saduküla,K115,Jõgeva linn,NA,NA,NA,K115,10,13,10,10,16.5,18.6,12,45,7,19,12,78.2,2,8,8,0.3703280399090206,4,4,0.7692307692307693,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
